event_code,event_name,event_description,compliance,event_type,eventtype_code,event_status,is_criticalevent,error_level,sa_id,is_manifested,app_code,event_description_fr,event_type_fr,event_id
sos_0001,Queue In,,journey_compliance,Journey Compliance,EID 001,passed,FALSE,None,sos,TRUE,sos,,,578
con_0002,Device Offline,,system_compliance,,,,,,,,,,,612
scon_0002,Sensor Offline,,system_compliance,,,,,,,,,,,613
tram_0003,Trip In,,system_compliance,,,,,,tram,,tram,,,614
tram_0004,Trip Out,,system_compliance,,,,,,tram,,tram,,,615
pc_0001,FOV First Seen,,pc_compliance,PC Compliance,EID 001,passed,TRUE,,,,pc,,,494
pc_0002,FOV Last Seen,,pc_compliance,PC Compliance,EID 001,passed,TRUE,,,,pc,,,495
pc_0003,Trip In,,trip_compliance,Trip Compliance,EID 002,passed,TRUE,,,,pc,,,496
pc_0004,Trip Out,,trip_compliance,Trip Compliance,EID 002,passed,TRUE,,,,pc,,,497
pc_0005,Zone In,,zone_compliance,Zone Compliance,EID 003,passed,TRUE,,,,pc,,,498
pc_0006,Zone Out,,zone_compliance,Zone Compliance,EID 004,passed,TRUE,,,,pc,,,499
pc_0007,Sensor Online,,system_compliance,Sytem Compliance,EID 005,passed,TRUE,,,,pc,,,500
pc_0008,Sensor Offline,,system_compliance,Sytem Compliance,EID 005,failed,TRUE,,,,pc,,,501
pc_0009,Edge Device Online,,system_compliance,Sytem Compliance,EID 005,passed,TRUE,,,,pc,,,502
pc_0010,Edge Offline,,system_compliance,Sytem Compliance,EID 005,failed,TRUE,,,,pc,,,503
pc_0011,Connected to Viana Cloud,,system_compliance,Sytem Compliance,EID 005,passed,TRUE,,,,pc,,,504
pc_0012,Viana Cloud Connection Error,,system_compliance,Sytem Compliance,EID 005,failed,TRUE,,,,pc,,,505
pc_0013,No FOV Obstruction,,system_compliance,Sytem Compliance,EID 005,passed,TRUE,,,,pc,,,506
pc_0014,FOV Obstruction Error,,system_compliance,Sytem Compliance,EID 005,failed,TRUE,,,,pc,,,507
samdt_0001,No FOV Obstruction,View is clear and camera is properly set up.,system_compliance,System Complied,System Complied,passed,FALSE,None,samdt,FALSE,samdt,,,508
samdt_0002,Sensor Online,Camera or sensor is online and connected.,system_compliance,System Complied,System Complied,passed,FALSE,None,samdt,FALSE,samdt,,,509
samdt_0003,Sensor Alerting,Camera or sensor is having problems with internet connection,system_compliance,System Complied,System Complied,failed,FALSE,Critical Error,samdt,FALSE,samdt,,,510
samdt_0004,Idle Time,No event detected for more than 2 minutes.,system_compliance,System Complied,System Complied,passed,FALSE,None,samdt,FALSE,samdt,,,511
samdt_0005,FOV Obstruction,View is blocked or camera is improperly set up.,system_compliance,General Error,General Error,failed,FALSE,Warning,samdt,FALSE,samdt,,,512
samdt_0006,Sensor Offline,Camera or sensor is offline or disconnected.,system_compliance,General Error,General Error,failed,FALSE,Critical Error,samdt,FALSE,samdt,,,513
samdt_0007,Potential Entry,Vehicle detected at the entry point,order_compliance,Preorder,Preorder,passed,FALSE,None,samdt,FALSE,samdt,,,514
samdt_0008,Drive Thru Overflow,[Vehicle queue] Non-moving vehicle/s detected before entry point,order_compliance,Preorder,Preorder,passed,FALSE,None,samdt,FALSE,samdt,,,515
